Well_id,Reservoir Pressure,ISIP,Closure Pressure,PAD Volume,Fluid Efficiency,Transmissibility,Total Prop Mass,Max Prop Conc
0,1250.500,2129.500,1861.000,4.892,0.149,12.685,16787.317,7.000
2,946.750,2850.500,2413.500,5.005,0.240,10.236,14543.000,5.000
3,1515.000,3782.500,3054.500,4.995,0.100,10.667,14366.000,5.000
4,2390.550,3449.500,3048.000,4.457,0.040,10.765,15406.000,5.000
8,655.950,,2290.000,3.563,0.080,12.254,15504.917,7.000
9,1837.950,4592.500,3053.000,4.988,0.360,10.404,14162.417,5.000
10,927.000,3503.000,2331.000,4.404,0.290,10.986,16674.917,5.000
11,1634.700,3758.500,2694.500,4.988,0.020,12.067,12597.417,5.000
12,1318.150,4253.000,3202.500,4.628,0.160,10.248,11694.583,5.000
13,1140.400,3062.000,2369.000,4.454,0.090,13.169,15655.500,5.000
15,2142.850,2850.000,2354.500,3.985,0.530,10.256,14289.500,5.000
16,1583.450,4348.000,3387.500,4.804,0.140,10.459,14904.083,5.000
17,1635.500,4494.000,3424.500,4.454,0.330,10.117,11527.317,5.000
18,1723.700,4947.000,3744.000,5.698,0.170,10.021,12251.100,5.000
19,1008.900,2668.000,2089.000,6.235,0.140,10.976,13664.583,7.000
21,1177.350,2530.500,1876.000,4.244,0.230,10.671,12120.833,5.000
22,1480.750,2219.500,2085.000,4.469,0.050,11.060,14359.167,6.000
23,1466.800,3988.500,2875.000,4.336,0.240,11.237,7424.833,5.000
24,320.500,1837.000,755.500,3.757,0.010,10.350,,4.000
25,490.600,2065.500,1282.500,4.454,0.260,11.255,18889.167,7.000
26,1923.000,5345.000,4089.000,5.384,0.170,10.050,344.583,2.000
28,935.700,3762.500,2867.000,5.838,0.190,10.689,18122.333,6.000
30,480.850,4175.500,2183.000,4.632,0.280,10.978,15500.000,5.000
31,2438.400,3900.000,2779.000,3.078,0.770,10.112,14558.000,5.000
32,1360.500,3707.500,2664.500,4.657,0.430,10.063,15027.517,5.000
33,618.700,4475.500,3343.500,3.723,0.120,11.245,14037.000,6.000
34,1630.900,4766.500,3397.000,4.454,0.260,10.145,6363.083,3.000
35,1860.800,4322.500,2821.500,4.498,0.410,10.299,17250.000,6.000
36,1545.350,1948.500,1727.500,4.456,0.530,10.211,15183.333,5.000
38,502.000,2861.000,,4.288,0.140,12.349,15476.417,9.000
39,2653.950,2986.500,2774.500,3.858,0.580,10.351,22828.500,8.000
40,257.100,2548.000,,1.983,0.020,14.339,10247.167,8.000
41,106.150,2050.000,1416.500,4.298,0.100,13.340,11416.667,8.000
43,1487.250,3891.000,3134.000,1.598,0.100,11.330,6993.583,8.000
44,953.500,2651.500,2279.000,2.671,0.090,12.712,7166.667,8.000
45,1340.200,2400.500,1976.000,3.562,0.180,12.828,20749.583,10.000
46,1355.600,2514.500,2084.000,3.546,0.570,10.617,26874.000,10.000
47,937.800,2235.500,1789.000,3.558,0.060,14.008,,10.000
48,1161.500,2427.000,1950.500,3.563,0.080,15.648,,9.000
51,933.600,2706.000,2134.000,4.585,0.250,11.024,22932.500,8.000
52,2285.700,3196.000,2909.000,1.780,0.160,11.444,,7.000
54,617.150,2975.500,2447.500,3.702,0.060,11.214,26720.917,10.000
55,1020.100,2420.500,1733.500,5.345,0.120,14.169,22975.000,9.000
56,1873.600,3235.500,3067.500,3.534,0.090,11.038,21381.083,8.000
57,794.500,,2635.500,3.847,0.150,10.822,24806.833,9.000
58,955.250,,2499.000,3.563,0.170,11.331,21666.667,9.000
59,1248.850,2704.500,2321.000,5.150,0.070,13.088,,8.400
60,1319.400,3682.000,2989.000,3.556,0.100,11.808,26301.583,9.000
